term,simple
pursestrings,Pursestrings are stitches that help reduce a flaw.
purulent,"When something is purulent, it means it's full of pus."
purulent sputum,"Purulent sputum is thick, yellowish mucus coughed up from the lungs."
pururlent,Purulent means that something is filled with pus.
pus,"Pus is a thick, whitish goo that forms when your body is fighting off an infection."
Push,Take every two hours.
puslus,"The pulse is slower and weaker compared to the heartbeat, potentially indicating aortic valve stenosis."
pussy,"A thick, whitish fluid that forms when the body battles an infection."
pustula,A pustula is a pus-filled bump on the skin.
pustules,A little bump on your skin filled with fluid that happens when your body is fighting an infection.
putamen,A region in the brain that shrinks due to damage from Huntington's disease.
PVc,Extra heartbeats that occur before the regular heartbeat.
pvcs,An extra heartbeat that starts in the lower chambers of your heart.
PVD,"When the blood vessels in the arms or legs get narrowed, reducing blood flow."
PVM,PVM describes changes in a chest X-ray that could indicate heart issues.
PVR,A test that checks leg artery blood flow without the need for invasive procedures.
PVRs,"A test for checking blood flow in leg arteries that is quick, painless, and non-invasive."
PVTs,"A major blood vessel that carries blood to the liver from the digestive system, spleen, and pancreas."
PWI,A type of imaging that shows detailed views inside the body.
PXE,A set of conditions that impact the body's elastic tissues.
pxn,A serious lung infection.
pyelectasis,Extra fluid in an unborn baby's kidneys that typically goes away on its own before or after birth and detectable through a prenatal ultrasound.
pyelitis,Swelling of the kidneys.
pyelo,A kidney infection.
pyelograms,An X-ray that shows pictures of the tubes carrying urine in the body.
pyelography,A test using special x-ray technology to take pictures of the kidneys and urine tubes.
pyelolithotomy,Surgery to take out a kidney stone.
pyelonephritis,Kidney infection.
pyelonephrosis,When there is a kidney problem.
PYELOPLASTY,Fixing the kidney through surgery.
pyeloscopy,A procedure to look inside the kidney where urine gathers before moving to the bladder.
pyelotomy,Surgery on the kidney.
pyh,A measure of long-term smoking history.
pyknocytosis,A rare neonatal disease with jaundice and blood issues.
pylonephritis,A kidney infection.
pyloric,Opening between the stomach and the small intestine.
pyloric sphincter,A muscle ring that opens and closes to let food move from the stomach to the small intestine.
pylorically,A passage from the stomach to the small intestine.
pyloromyotomy,A surgery to make the opening between the stomach and small intestine wider so food can move through better.
pyloroplasty,Surgery done on the opening between stomach and small intestine.
pylorus,The pylorus is like a gate that connects the stomach to the small intestine.
pyocystitis,Pus buildup in the bladder that can cause blood infections.
Pyoderma,"Pyoderma is a rare skin condition that results in the development of painful sores, typically seen on the legs."
pyoderma gangrenosum,"A rare skin condition that leads to painful sores, usually found on the legs."
pyodermic gangrenosum,"A rare skin condition causing painful sores, typically found on the legs."
pyogenic,Infections in the spine.
pyogenic liver abscess,A pocket of pus in the liver caused by bacteria.
pyometrium,An infection in the uterus that can make it swell with pus.
pyonephritis,A kidney infection with pus.
pyramid,A pyramid is a structure inside the kidney.
pyramidal,"A pyramidal thyroid is a variation in the shape of the thyroid gland found in some people, which includes an extra lobe."
pyramidal lobe,"An extra part in the thyroid found in some people, called pyramidal lobe."
pyramidalis,A triangle-shaped muscle in the abdomen located in front of the lower part of another muscle.
pyramids,A part of the kidney.
Pyrazinamide,Pyrazinamide is a drug that helps to treat tuberculosis.
Pyridium,A medication used to relieve pain from urinary tract infections.
Pyridox,A drug called Pyridox.
pyridoxine,A type of vitamin B that your body needs to stay healthy and function properly.
pyriformis,A tiny muscle found in the buttocks area.
pyritic,A skin condition that makes your skin feel itchy.
Pyrophosphate,Pyrophosphate is a substance that helps prevent arthritis by stopping crystals and calcium from forming in the joints.
pyrosis,Heartburn is a burning sensation in your chest caused by acid reflux.
pyruvate,"A compound that helps generate energy in the body, and low levels compared to lactate could indicate an issue with energy production."
pyruvic,Pyruvic is a substance involved in breaking down food in your body.
pyruvic acid,Pyruvic acid is a substance involved in breaking down food in your body.
Pysch,Related to mental well-being.
pyschiatry,A doctor who specializes in treating mental disorders.
pyschosis,Psychosis is when your mind is affected and you may lose touch with reality.
pyuria,Pus in the pee.
pyxis,A pyxis is like a vending machine for medications.
PZA,A drug used to treat tuberculosis infections.
QAM,QAM: To be taken every morning.
QAM magnesium,QAM magnesium helps your body's systems and muscles work better.
QAM polyethylene,A compound used in medications and as a laxative for bowel cleansing before a gastrointestinal test.
QCT interval,A QCT interval is like a snapshot of the heart's electrical activity shown on an EKG.
Qdaily,Something that happens every day.
qday,Every single day.
QHS,QHS means every night when you go to bed.
QID magnesium,This over-the-counter electrolyte supplement boosts low electrolyte levels in the blood due to kidney disease.
QIDPCHS,"Take your medicine four times a day - after breakfast, lunch, dinner, and before bedtime."
QMndWed,"It means something that happens or occurs every Monday, Wednesday, and Friday."
QMndWed Fri,"It means something that happens every Monday, Wednesday, and Friday."
QMndWedFri,"It means happening every Monday, Wednesday, and Friday."
qod,Taken once a day.
QODHS,"Take this medicine every other day, or skip every other day."
QOL,QOL is just a shortcut for Quality of Life.
QOtherDay,QOtherDay means you take it every other day.
QPM,QPM means to take something every afternoon or evening.
QPM polyethylene,A compound found in medicines and used as a laxative before a GI exam.
QPM potassium,A drug used to treat and prevent low blood pressure called QPM potassium.
QR axis,It's a way to show how electricity moves through the heart on an ECG.
QRS,Three distinctive electrical waves in the heart shown on an ECG.
QRS complex,Three heart waves indicating ventricular activity on an EKG.
QRS complexes,The QRS complexes are the three waves on an EKG that show when the heart's lower chambers are ready to contract.
QRSs,QRSs are the three heart waves you can spot on an ECG.
qshift,When nurses start their work day.
QST,The QST is what you get after looking at an ECG.
QSunTuThSa,"Take your medicine on Sunday, Tuesday, Thursday, and Saturday."
QT interval,A normal part of the heart's activity cycle.
qtc,QTC is a measure of heart rhythm used to gauge potential heart rhythm issues.
QThursday,A QThursday is a mix of substances that blend together nicely.
qtt,Administered through liquid drops or an IV drip.
QTuesday,Occurs every Tuesday.
QTY,It's just a short way of saying quantity.
quad,The quad muscle is located at the front of the thigh.
quadraceps,Muscle at the front of your thigh.
quadrant,A quadrant is one of the four areas that make up a region in the body like the belly or mouth.
quadrants,A section of the eye.
quadratus,The quadratus muscle rotates the thigh.
quadriceps,Front thigh muscle.
quadricepsplasty,Quadricepsplasty is a surgical procedure that involves releasing the quadriceps muscle to improve the range of knee movement.
quadrigeminal,A brain space filled with fluid.
quadrigeminal cistern,It's a space in your brain filled with fluid.
quadrigeminal cisterns,A fluid-filled space in the brain.
quadrigeminy,An irregular heartbeat where every fourth beat comes too soon.
QUADRILATERAL,A quadrilateral is a shape with four sides and four angles.
QUADRILATERAL SPACE,"A rare condition where a nerve and artery in the upper arm are harmed, often due to overuse, leading to pain and numbness."
quadriparesis,Weakness in all four limbs due to nerve damage.
quadriplegia,Quadriplegia is when someone can't move their arms and legs.
quadripolar catheter,A quadripolar catheter is a tool for diagnosing and treating irregular heartbeats.
Quadripolar catheters,A tool that helps doctors find and fix problems with irregular heartbeats.
quadruple,A surgery to redirect blood flow around four blocked heart arteries.
quadruple bypass,A quadruple bypass is a type of heart surgery where four blocked arteries are rerouted to improve blood flow.
quadruplicate,Quadruplicate means four times as much.
quads,Front thigh muscle.
Qual,A qual is just a teeny tiny bit of something.
qualitative,A qualitative test determines if something is there or not.
qualitatively,Qualitatively means related to the characteristics or traits of something.
Quality Assurance,Making sure things are done right.
QUANT,QUANT is when you measure or count something in numbers to see how much there is.
quantification,Quantification is basically counting how many of something there is.
quantified,To measure something.
quantify,To figure out and express the amount of something.
quantitation,To measure and determine the amount of something precisely.
quantitative,Quantitative means measuring or describing something in numbers.
Quantitative PCR,A PCR test that measures the quantity of a specific DNA or RNA molecule.
Quantitative real-time PCR,"A method to determine the amount of a specific DNA, like a virus, in real-time."
Quantity not sufficient,Not having enough of something to do a test.
quantum mottle artifact,"A quantum mottle artifact is a type of fuzziness in a CT image caused by interference, which makes the image less clear."
queasy,Feeling like you're going to puke.
Quercetin,Quercetin is a drug.
queried,Asking a question.
query,A query is just a question.
questions--,Related to mental health.
quetiapine,A medication that helps with mental health issues.
quidewire,A quidewire is like a wire guide that helps place a medical tube in the right spot.
quiescence,"When something is quiet or still, like taking a break or resting."
QUIESCENT,Paused or temporarily stopped.
quiet,An absence of inflammation.
Quilty,A substance that forms aftermath an organ transplant between patients.
Quilty Effect,"When an organ from one person is put into another person, a Quilty effect is a substance that forms as a response."
Quinaglute,A medication for irregular heartbeats.
Quinalan,A medicine used for treating irregular heartbeats or malaria infection.
quinapril,A medication that helps with increasing blood circulation and reducing high blood pressure.
Quinaril,A medication that boosts blood flow and reduces blood pressure.
Quincke pulsations,"When you press on your fingernail and see it turn red and pulse, it could be a sign of aortic regurgitation."
Quinidine,A drug for irregular heartbeats or malaria.
Quinine,A drug called Quinine.
quinoline,A type of medicine to treat certain diseases like malaria and tuberculosis.
quinolines,Medications used for treating diseases like malaria and tuberculosis.
quinolone,A type of medication for certain bacterial infections.
quinolones,A medication that helps with certain bacterial infections.
quiver,Quiver means a heart skipping a beat.
quotient,A quotient is basically a fancy way of saying a certain amount or part of something.
Qvar,A drug you breathe in to help with asthma or breathing issues.
QWED,Whenever Wednesday comes around.
qweek,Every time seven days pass.
R-CHOP,R-CHOP is a cancer treatment that uses drugs to kill cancer cells in the body.
R-R interval,The time between two heartbeats measured on an EKG.
R-wave,R-wave is a specific electrical activity in the heart.
R-wave sensing,A pacemaker setting that detects R-waves.
Rabies,A deadly virus that attacks the nervous system and can be fatal if not treated.
raccoon,A raccoon eye signifies a skull fracture with blood around the eyes.
raccoon eyes,A skull fracture indicator where blood pools around the eyes.
raccoon sign,A raccoon sign is a type of skull fracture where blood seeps into the soft tissue around the eyes.
racemase,A marker protein for prostate cancer.
RACEMIC,A mix of different forms of epinephrine that are part of the same molecule.
racemic epinephrine,Racemic epinephrine is a type of medication.
rachnoid,A tissue layer covering the brain and spinal cord.
RAD,Being sensitive to the bronchial tubes.
RADI wire,A type of pressure wire used to measure blood pressure in the heart and other areas.
radial,About the bone in your arm.
radial arterial line,A catheter in the wrist artery for fast blood pressure monitoring in serious patients.
radial arteries,The main blood vessel in the forearm that carries blood to the hand and can be felt at the wrist.
Radial artery,It's the big blood vessel in your arm that pumps blood to your hand and you can feel your pulse by touching it on your wrist.
radial artery conduit,A blood vessel from the arm used to improve blood flow to the heart.
radial free graft,A graft that involves using a part of the radial artery from the arm.
radial head,The top part of the forearm bone near the elbow.
Radial keratotomy,A surgery that corrects vision and helps with seeing far away.
radial mastectomy,"Surgery to remove the breast, chest muscles, and lymph nodes for breast cancer."
radial nerve,The radial nerve runs from the arm to the hand and fingers.
Radial pulse,The radial pulse is the heartbeat you feel on the inner side of your wrist.
radial pulses,The pulse you can feel on the inside and thumb-side of your wrist.
radial tear,A type of knee cartilage damage called a radial tear.
radial vein,A major blood vessel in the forearm.
radially,Radially means towards the radial artery at the wrist.
radials,Radials refer to things connected to the long bone in your arm.
radian,"A unit of measurement for angles in a circle, equal to about 57.3 degrees."
radiate,Radiate means to spread out in all directions.
radiated,Radiated means spreading out from a central point.
radiates,Radiates means spreads out.
radiating,"Spreading out from one central point to other areas, like pain moving from the upper back."
radiatio,Pain radiates when it spreads to other areas of the body.
radiation,High energy rays used to kill cancer cells.
radiation colitis,Damage to the colon caused by radiation used to treat certain types of cancer.
radiation dermatitis,A skin irritation caused by radiation therapy.
radiation enteritis,"Radiation enteritis is when your small intestine gets painful, red, and swollen from radiation therapy."
radiation fibrosis,Radiation fibrosis is a condition where scar tissue forms as a side-effect of prolonged radiation therapy for cancer.
radiation field,"Area of the body exposed to high-energy rays, such as in cancer treatment."
radiation induced colitis,Colon inflammation caused by radiation treatment.
radiation necrosis,Radiation necrosis is when healthy tissue dies due to radiation treatment.
radiation oncologist,A radiation oncologist is a doctor who uses radiation to treat cancer.
radiation oncology,A hospital department using high-energy rays to treat cancer.
radiation pneumonitis,"Inflammation in the lungs due to chest radiation, often occurring within 3 months of treatment."
Radiation proctitis,Damage to the lower part of the colon caused by radiation therapy.
radiation therapist,A radiation therapist administers radiation treatment to patients as a part of their healthcare profession.
radiationt,High-energy rays that are used to kill cancer cells.
Radical,Getting rid of all of an organ or infected tissue inside the body.
radical cystectomy,Surgical removal of the bladder and surrounding tissues.
radical hysterectomy,"Surgery to remove the uterus, cervix, and part of the vagina."
radical mastectomy,"A surgery for breast cancer where the entire breast, chest muscles, and armpit lymph nodes are removed."
Radical nephrectomy,"A surgery that takes out a whole kidney, along with nearby glands and tissues."
radical prostatectomy,A surgery to remove the entire prostate along with some surrounding tissue.
Radical retropubic prostatectomy,A surgery to remove the prostate gland and nearby lymph nodes through an incision in the abdominal wall.
radicle,Radicle means completely removing an organ or all diseased tissue in an area.
radicles,The tiny branches of a vessel or nerve.
radicular,Nerve-root pain causing numbness and tingling in limbs.
radicular nerve compression,"When a spinal nerve gets pinched, it causes radicular nerve compression."
radiculitis,Swelling of a nerve in the spine.
Radiculopathy,Radiculopathy is when you have pain from a pinched nerve.
Radiesse voice,Material used for treating paralyzed vocal cords.
Radiesse voice gel,A special substance used to help fix a paralyzed vocal cord.
RADII,One of the two bones in your lower arm.
Radio,Radio is when high energy rays hurt your body tissues.
radio frequency ablation,A procedure using radio waves to destroy specific cells.
radio nuclear,An atom that has extra energy and can be used to make pictures.
radioablation,A treatment using radio waves to destroy specific cells in the body.
Radioactive,Stuff that gives off energy that can harm living things.
radioactive iodine,A treatment given for thyroid issues that impact heart rate and other important functions.
radioactive seed,"A tiny, radioactive pellet used near or inside a tumor."
radiocarpal,Where the arm bone meets the wrist bones.
radiocarpal joint,Where the arm bone meets the wrist bones.
RADIOCARPAL JOINTS,Where the arm bones connect with the wrist bones.
radiocephalic,The radiocephalic refers to the vein located at the wrist.
radiochemotherapy,Using chemicals and radiation together for cancer treatment.
radiocontrast,When the medical team gives a patient a special dye for imaging tests.
Radiodense,Objects that show up as white on an X-ray because they block the X-rays from passing through easily.
radiofreqency,A treatment that uses radio waves to break down specific areas of cells.
radiofrequency,Using electricity to turn off feeling in a specific part of the body.
RADIOFREQUENCY ABLATION,A procedure using radio waves to zap and destroy specific cells.
radiogenic,"Caused by radioactivity, like treatments or tests in medicine."
radiograhic,It's a way to take pictures inside your body using X-rays.
radiograph,A radiograph is like a picture of your bones taken with an x-ray machine.
radiographic,A method that creates images of the inside of the body using X-rays.
radiographical,It can be seen on an X-ray.
RADIOGRAPHICALLY,Taking a picture inside the body using a special machine.
radiographo,An x-ray picture.
radiographs,A radiograph is basically an x-ray picture.
radiography,Taking pictures inside the body using X-ray radiation.
radiol,A radiol is a medical professional who takes and analyzes images of the body to detect and diagnose various health conditions.
radiolabeled,A radiolabeled compound is a substance that has radioactive material mixed in it.
radiologic,Radiologic refers to using X-rays and ultrasound to detect diseases.
radiologic metastatic disease,Cancers that have spread throughout the body and can be seen on an X-ray.
radiological,Having to do with X-rays and ultrasound for identifying diseases.
radiologies,Radiologies use imaging systems to find and treat diseases within the body.
RADIOLOGIST,A radiologist is a doctor who looks at pictures of your insides to find problems.
RADIOLOGY,An area in the hospital that takes pictures inside the body to help diagnose and treat illnesses.
radiolucency,"An X-ray showing a lighter area due to less density, possibly because of air or fluid."
radiolucent,Something thin enough for X-rays to pass through.
radionecrosis,Damage to tissue caused by high-energy radiation.
RADIONUCLIDE,An atom with extra energy used for making images.
radioosteonecrosis,Bone death caused by radiation treatment for cancer.
RADIOPACITY,RADIOPACITY: Objects that are visible on X-ray images.
radiopaque,Something that shows up as a bright spot on an X-ray because it blocks X-rays from passing through.
radiopharmaceutical,A medicine that uses radiation to diagnose or treat illnesses.
RADIOPHARMECEUTICAL,A radioactive medicine used in diagnosis or treatment.
radioscaphoid,A radioscaphoid is a joint in the wrist.
radiosensitize,Make radiation treatment more effective by adding drugs or chemicals to the process.
radiosurgery,Radiosurgery is a treatment for cancer using focused radiation beams.
radiosurgical,Using radiation to target and destroy a small area within the body.
radiotherapist,A radiotherapist is a person who zaps cancer cells with energy rays to kill them.
radiotherapy,Using high energy rays to kill cancer cells.
RADIOTRACER,A radiotracer is a chemical that is injected into the body to track its functions during scans.
radiotracers,A radiotracer is a chemical injected into the body to track its functions during a scan.
radioulnar,"The place where the two forearm bones meet, one near the wrist and the other near the elbow."
radius,The radius is a bone in your lower arm.
Radom,Chosen randomly.
RAEB,A blood disorder where the bone marrow produces abnormal blood cells.
rage of motion,The full range of motion refers to how far a joint can move.
raglan,Medication that aids in food digestion in the stomach and intestines.
rah,A rah is a weird change in how your skin looks or feels.
rales,Rales are sounds like clicking or crackling that can be heard in the lungs.
Raloxifene,Drug component that lowers the risk of breast cancer in postmenopausal women.
Ralstonia pickettii,It's a bacteria that can harm people with existing health conditions.
rami,Branches coming off bones or blood vessels.
Ramipril,A medication to help with high blood pressure or heart failure and can increase survival post-heart attack.
RAMs,A RAM test is a quick way to check coordination.
ramsey,A tool used to measure how sedated a patient is.
ramus,Ramus is a part of a bone or a branch.
Ramus Intermedius,A smaller branch of the main heart artery found in certain individuals.
ran,A technique used to stitch up long wounds with one continuous thread instead of several short pieces.
Rancho,A device used in surgeries on the feet.
randomize,Mixing things up for a fair test: some trial participants get the treatment and some don't.
randomly,Happening by luck or without a specific plan.
Ranexa,Medication for treating chest pain caused by heart issues.
range of motion,How far your body can move a joint.
ranitidine,A medicine used to reduce stomach acidity.
Rapamine,A medicine that helps the body accept organ and bone marrow transplants.
Rapamune,A medication that helps prevent the body from rejecting organ and bone marrow transplants.
rapamycin,A drug that helps prevent the body from rejecting organ and bone marrow transplants.
raphe,A raphe is like a seam where two halves of an organ meet.
rapid,The rapid heartbeats in the lower chambers of the heart are called ventricular tachycardia.
rapid plasma reagin,A blood test to check for syphilis.
rapid sequence,A quick way to insert a breathing tube for patients who haven't gone without food.
rapid sequence induction,"A method for quickly putting a breathing tube into a patient, often used when fasting is not possible."
rapid strep,A fast test using a swab to check for strep throat.
rapid ventricular,The lower chambers of the heart beat too quickly.
rapid ventricular rate,a fast and irregular heart rate due to rapid ventricular contractions
rapid ventricular response,Your heart's lower chambers beat too quickly in rapid ventricular response.
rapid virologic response,"When treating hepatitis C, having no detectable virus left after week 4 of treatment is a rapid virologic response."
Rapido,A kind of tube used to guide medical tools during procedures.
rapo,Being able to communicate in a trustworthy manner.
Raptor,"A balloon used in PTCA called ""Raptor."""
RARA,A gene that can combine with PML to trigger a form of leukemia.
RARD,Two parts of the right side of the heart.
rare,The scientific name for the alcohol in alcoholic beverages.
RAS,A blockage in the kidney's blood supply pathway.
Rash,A rash is when your skin changes color or texture in an unusual way.
Rashes,"A rash is when your skin gets red, bumpy, itchy, or scaly, and can have blisters or welts too."
rasopathy,A group of genetic conditions caused by issues in the RAS pathway that helps cells communicate in the body.
rAsp,A test to check for a fungal infection in a person.
rasped,Rasped refers to rough files used during surgical procedures.
rasping,To scrape or rub something to make it smoother or flatter.
rasps,A rasps is a test to check if someone has a specific fungal infection.
RAST,A blood test to check for allergies.
rate,How fast or slow the heart is beating.
rate control,Controlling how fast the heart beats can be helpful for conditions like atrial fibrillation.
Rate controlled,"Controlling how fast the heart beats, often to help with certain heart conditions like atrial fibrillation."
rate controlling,Controlling how fast the heart is beating.
rate is,How fast someone inhales and exhales in a minute.
rate lowering medication,A medication that helps slow down your heartbeat.
rate of,The rate of breaths a person takes in one minute.
rate-controlled,The heart is beating at a steady pace.
rated,To assign a score or classification to something.
Rathke,A part of the roof of the mouth that moves into the brain as it forms.
Rathke cleft cyst,A non-cancerous sac of fluid located at the bottom of the brain.
Rathke pouch,A rare growth in the brain made up of cells from the body's surface.
ratio,A ratio is when you compare one thing to another.
ratty,Uneven and not smooth.
Ravasio,A medication to help with high blood pressure in the lungs.
RAY,A ray is a finger or toe.
ray-,The heart struggles to pump blood efficiently.
Raynaud,A condition that makes certain body parts hypersensitive to cold and numb due to reduced blood flow.
Raynaud phenomenon,A condition where certain body parts are extra sensitive to cold and might feel numb due to decreased blood flow.
RBBB,A heart rhythm disorder known as RBBB.
RBCs,Red blood cells are the cells in your blood that carry oxygen to different parts of your body.
RBG,"RBG is a measure of blood sugar anytime, regardless of meal timing."
RBGs,A way to track blood sugar levels at any time.
RBILD,"RBILD is a lung disease caused by smoking, with symptoms like coughing and breathlessness during physical activity."
RBPC,Packed red blood cells are concentrated blood cells stored in bags and used for transfusions.
RCA,An important blood vessel in the heart that provides blood to the muscle on the right side.
RCCA,RCCA is a blood vessel that provides blood to the head and neck.
RCD,A blend of medicines to help with certain types of blood cancers and immune disorders.
RCMD,When cells don't grow right and treatment doesn't work.
RDF,Breathing problems in newborn babies.
RDH,High levels of RDH in the blood show that there might be tissue damage.
RDS,Breathing issue in newborns - RDS.
reaccumulation,Fluid buildup coming back.
reaccumulations,When fluid builds up again.
reacitve,Reacting to something happening.
react,To react means to respond to something happening around you.
REACTION,"When your body reacts to something, causing a physical or behavioral change."
reactional drug,Using substances for fun rather than for a specific health-related purpose.
reactions,Reactions are how your body responds to things that can make you act or feel different.
reactivate,To make something active or functional again.
reactivating,To restart something that has stopped working or become inactive.
reactivation,When a disease that had improved returns.
reactive,Reacting to something that happened.
Reactive arthritis,"A condition that may develop following an infection, leading to symptoms like joint pain, eye inflammation, and painful urination."
reactive change,Reactive change happens in cells when they repair themselves from damage.
reactive changes,Changes in cells that occur as part of the regular repair process.
reactive cytology,Cells that appear unusual under the microscope.
reactive thrombocythemia,Your body makes too many platelets because of an infection or another health issue.
reactive to,"When your pupils shrink in response to light, it's totally normal."
reactive to light,"When your pupils shrink in response to light, that's a normal reaction."
reactively,Reactively means responding to something that happens.
reactivity,Reactiveness refers to how likely something is to react to a stimulus.
read,Check out an x-ray or test.
Readicat,A type of contrast material used in medical imaging.
reading,Looking at an x-ray or medical test to understand it.
readmission,Getting admitted to the hospital again shortly after being discharged.
reagent,A reagent is a substance used in a lab test.
reagents,Substance used in a lab test.
ream,To ream means to widen or make a hole bigger.
reamed,To make a hole larger or wider.
reamer,A reamer is a tool commonly used in hip surgery.
reamers,A tool that grinds bone in surgery.
reaming,Expanding or enlarging a hole.
REAMINGS,To expand or enlarge a hole.
reanastamosis,Reconnecting a tube in the body that had been cut.
reanastomosed,To surgically reconnect a tube that was previously cut in the body.
reanastomosis,Reconnecting a tube in the body that had been cut.
reangioplasty,Doing a surgery again to open up a narrow blood vessel.
Reanl,Related to the kidneys.
reappose,Try again to put things next to each other.
reapproximate,To come close to estimating or guessing an answer.
reapproximated,To bring back together.
Reapro,Reapro is a medication that helps avoid the formation of unwanted blood clots.
rearrangement,Changing the way parts of a chromosome are organized.
Rearrangements,Changes in how parts of a chromosome are arranged.
reassess,To reevaluate and check on a patient's condition.
reassessed,To reevaluate and check on the patient's condition.
reassessment,Giving something a second look to see if it needs to be changed or updated.
REBLEED,"Bleeding happening again, may require another surgery."
rebnal,"""Related to the kidneys."""
rebolus,To take a big dose of something all over again at one time.
rebolusing,To take a big dose again all at once.
rebound,"When a doctor presses your belly and then quickly releases it, causing pain, this is called rebound tenderness."
rebound tenderness,"When a doctor removes pressure from your stomach and it hurts, it could mean there is inflammation present."
rec,A rec is something that is made up by mixing it with water to drink.
RECA,"A main blood vessel that gives blood to the face and neck, branching from the common carotid artery."
recalcictrent,When a treatment doesn't work as expected.
recalcitrant,"Stubborn or rebellious, not following rules or doing the right thing."
recanalisation,Reopening a blocked blood vessel.
recanalization,Clearing a blockage in a vessel.
recanalized,Restoring flow in a blocked bodily tube like a blood vessel.
recannulate,"Redo the threading of a thin needle, tube, or wire into a small opening."
recannulization,Unblocking a closed blood vessel.
recanulized,When a blocked tube in your body is cleared so that blood or fluid can pass through again.
recatheterize,Put in another tube in the body again.
recatl,The recatl is the last part of the intestine before the anus.
receamic epinephrine,A blend of different forms of epinephrine.
received,Collecting samples of body parts or fluids for testing.
recent,A whistling sound in your chest when you breathe that can be caused by narrowed airways and might be serious.
receptor,A receptor is a protein that latches onto a specific substance and triggers a reaction in the cell.
recess,A recess refers to a small hollow space within an organ or body part.
recesses,A recess is a small space inside your body or an organ.
rechallenge,Giving a drug another try after stopping it due to negative side effects.
recidivism,Going back to old bad habits or behaviors.
recipient,A recipient is a person who gets an organ transplant.
reciprocal,Reciprocal means something that is equal on both sides.
reciprocal saw,A reciprocal saw is a powered saw used in surgery.
reciprocating,Moves in a back-and-forth motion.
reclining,To lean or lie back in a relaxed position.
recognizance,A written promise you make legally.
recommend,A medicine taken for anxiety and seizures.
Recommendation,Recommendation is just advice on what you should do.
recommendations,Advice on what to do.
Recon,Recon means something that's reconstituted from a dried state using water or other liquid.
reconciliation,A list of all the medications a patient is taking to ensure they receive the correct medicine when transitioning between different healthcare settings.
reconciliation form,"A list of all the medications a person is taking, with details like the drug name and dose, to ensure they receive the correct medication during transitions between different healthcare settings."
reconditioning,Helping someone recover to their previous level of health after being sick.
RECONS,RECONS shows 3D X-ray pictures.
reconstitute,To reroute blood flow around a blocked area to restore circulation downstream.
reconstituted,To reroute blood flow around a blockage to ensure blood supply downstream.
reconstitutes,Reconstitutes means to redirect blood flow around a blockage to ensure blood supply downstream.
reconstruct,To put together pieces to form a complete whole.
reconstructed,Putting something back together from pieces.
reconstructible,Able to be rebuilt.
reconstruction,Reconstruction is a surgery that fixes or rebuilds a damaged organ or body part.
reconstructions,Reconstructions show 3D X-ray images.
reconstructive surgeries,Surgery to fix or improve a previous surgery's results.
reconstructive surgery,Surgery to reshape the body after a previous surgery.
recontour,Reshape the outer surface.
recovery room,A room in the hospital where you go after surgery to be looked after by medical staff.
recreational,Using chemicals for fun rather than for health reasons.
recreational drug,Using drugs for fun rather than for a healthcare purpose.
recreational drugs,Drugs used for fun rather than for medical purposes.
recreational therapy,Helping patients improve daily life skills through therapeutic activities.
recruiitment,Helping a collapsed lung to expand.
recruit,Bring new people into a group or organization.
recs,A doctor's suggestion.
Rectal,Related to the end of the large intestine leading to the butt.
rectal administration,Putting medicine into your butt.
rectal cancer,Cancer that starts in the rectum tissues.
rectal polyp,"It's a growth that starts inside the rectum, which is the end of the large intestine."
rectal prolapse,When the rectum stretches and sticks out of the anus.
Rectal reconstruction,A surgical procedure to reconstruct the rectum using a portion of the colon.
rectal sigmoidal,The last part of the big intestine transitioning into the beginning of the rectum.
rectal tube,"A tube used to remove gas, fluid, and stool from the rectum."
rectally,Having to do with the butt.
recto,"It's about the end of the intestines, the rectum."
rectocele,When the rectum bulges into the vagina.
rectopexy,"A surgery procedure to fix the rectum back into its regular place in the pelvis, preventing it from protruding out of the anus."
rectosig,The end of the large intestine where it meets the beginning of the rectum.
rectosigmoid,The point where the large intestine meets the beginning of the rectum.
rectosigmoid junction,The spot where the lower colon meets the exit for your poop.
rectosigmoidal,Where the large intestine transitions into the rectum.
rectovaginal,Between the vagina and butt.
rectovesical,A space between the rectum and bladder in guys.
RECTOVESICULAR,A direct connection between the colon and the bladder.
rectum,The rectum is the section at the end of your digestive tract before the anus.
recturm,The rectum is the last part of the intestine before the anus.
rectus,"A big muscle in the front of the belly that supports the spine, helps with breathing, and holds up organs."
rectus abdominis,"The abs, which are muscles running the length of the stomach."
rectus muscle,A muscle on either side of your stomach wall.
rectus muscles,Muscles on both sides of your stomach.
rectus sheath,A set of muscles that shields the abdominal area.
reculture,Rechecking microbial findings by growing them again.
recultured,Recultured means taking a sample again to recheck the presence of bacteria or other microorganisms.
reculturing,Double-checking the results of microbial cultures.
RECUMBANT,To lay down in a reclining position.
recuperate,To improve from an illness or injury.
recurr,When a disease comes back after treatment.
recurrance,When a disease comes back after treatment.
RECURRANT LARYN,A nerve in the body that controls the muscles in the voice box.
recurrence,When a disease comes back after being treated.
recurrences,Recurrences are when a disease comes back after being treated.
Recurrenet,Something that happens frequently and keeps happening again and again.
recurrent,Happens a lot and keeps happening.
recurrent cancer,Cancer that returns after it was initially undetectable.
Recurrent diarrhea,"Having frequent bouts of soft or watery poop, often accompanied by stomach cramps and bloating."
recurrent laryngeal,A branch of the vagus nerve that controls the muscles in the voice box.
recurring,Keeps happening again and again.
recurs,Keep happening over and over again.
